ISO Code,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
DZA,Algeria,119,117,117,115,116,116,115,114,114,113,112
AGO,Angola,431,395,359,326,300,281,269,258,251,246,241
BEN,Benin,486,480,471,464,458,450,441,432,421,408,397
BWA,Botswana,209,203,189,179,176,170,164,160,156,151,144
BFA,Burkina Faso,410,401,393,385,377,369,362,353,343,331,320
BDI,Burundi,756,733,698,665,635,608,591,576,568,558,548
CMR,Cameroon,635,618,606,597,589,580,567,564,554,538,529
CAF,Central African Republic,1130,1090,1050,1000,981,963,1030,961,912,890,829
CHL,Chile,23,21,21,20,18,17,16,15,14,13,13
COG,Congo,580,552,526,506,488,468,449,433,416,397,378
CIV,Côte d'Ivoire,698,694,700,701,703,702,691,676,658,636,617
HRV,Croatia,9,9,9,9,9,8,9,8,8,7,8
COD,Democratic Republic of the Congo,578,565,555,542,532,524,514,500,490,481,473
DJI,Djibouti,335,320,299,283,272,262,256,256,247,246,248
ECU,Ecuador,85,82,80,78,76,71,67,65,63,61,59
EGY,Egypt,47,45,45,45,42,42,40,39,39,38,37
GNQ,Equatorial Guinea,322,314,310,308,308,305,300,295,296,301,301
ERI,Eritrea,635,605,583,567,558,549,540,530,518,498,480
ETH,Ethiopia,731,681,638,597,558,527,498,472,446,422,401
GAB,Gabon,336,332,324,314,304,292,277,267,261,256,252
GMB,Gambia,690,675,668,661,656,650,644,637,625,611,597
GHA,Ghana,349,342,339,339,339,336,331,325,320,314,308
GIN,Guinea,772,754,750,747,748,744,731,767,699,621,576
GNB,Guinea-Bissau,860,827,800,779,762,744,726,711,694,679,667
KEN,Kenya,545,513,472,432,398,373,364,358,353,346,342
LSO,Lesotho,652,623,607,594,585,586,583,579,574,559,544
LBR,Liberia,754,738,724,708,694,683,674,688,691,661,661
LBY,Libya,53,52,53,53,56,55,58,63,70,73,72
MDG,Madagascar,503,491,474,453,432,413,394,378,363,348,335
MWI,Malawi,526,493,466,444,428,413,396,381,370,358,349
MLI,Mali,663,661,661,660,663,663,663,642,620,590,562
MRT,Mauritania,820,819,822,824,822,812,805,796,785,777,766
MUS,Mauritius,56,53,59,66,54,63,60,70,73,67,61
MAR,Morocco,113,106,99,92,86,81,78,76,74,72,70
MOZ,Mozambique,505,471,439,412,389,371,356,339,318,301,289
NAM,Namibia,306,284,276,266,256,240,231,223,217,207,195
NER,Niger,725,709,688,663,639,616,594,573,555,530,509
NGA,Nigeria,1010,996,987,978,972,963,951,943,931,925,917
RWA,Rwanda,469,427,424,373,349,329,308,291,275,260,248
SEN,Senegal,504,492,472,447,423,400,381,364,346,330,315
SYC,Seychelles,55,55,55,55,55,55,55,55,54,54,53
SLE,Sierra Leone,1610,1530,1450,1360,1270,1210,1180,1190,1180,1120,1120
SOM,Somalia,1030,1010,994,985,955,943,893,878,855,865,829
ZAF,South Africa,199,191,179,171,161,143,133,128,125,122,119
SSD,South Sudan,1330,1250,1170,1100,1070,1050,1090,1140,1110,1130,1150
SDN,Sudan,479,454,433,408,390,368,349,333,320,308,295
TGO,Togo,480,473,458,440,422,410,404,401,398,395,396
TUN,Tunisia,47,47,46,46,46,46,46,46,46,45,43
UGA,Uganda,465,455,442,430,419,412,401,394,387,381,375
TZA,United Republic of Tanzania,685,666,656,644,628,615,593,574,556,539,524
ZMB,Zambia,387,356,329,305,283,267,254,242,232,222,213
ZWE,Zimbabwe,671,657,632,598,557,528,509,494,480,468,458
